Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
PLXND1	64.8808	85.4818	65.8799	54.7665	117.81	69.058	38.9461	87.5676	78.4285	64.3919	34.8637	36.6132	53.1513	43.2934	54.1564	77.7473	61.3903	70.9376	229.031	96.2279	89.2825	61.0615	58.177
HERC6	55.1516	54.7264	98.2339	42.0441	37.9962	35.8243	65.0377	25.3691	30.8026	62.1979	74.69	58.4123	49.9116	37.1536	43.096	33.4141	56.4469	17.2207	54.8629	41.4101	44.156	11.95	41.2015
ZSCAN23	0.703427	1.76733	1.294	9.94696	2.88153	10.0604	0.869316	6.16696	4.27654	21.4596	8.92933	8.18644	9.95633	4.89413	12.4713	9.94997	1.20549	3.04901	2.74049	2.76992	1.63556	9.90217	6.78391
FCRL2	537.574	128.134	174.593	66.0362	121.501	149.074	301.501	169.883	215.734	151.357	219.773	119.593	110.769	105.975	208.686	671.731	467.564	145.105	224.214	260.795	69.7446	107.238	335.96
CDON	5.54758	12.7954	2.06528	18.021	7.13912	9.11425	3.05006	10.7207	2.36374	11.3018	3.00685	1.31128	4.84664	6.28409	6.00145	9.37305	23.6126	2.92099	13.6493	18.4311	4.66862	2.51347	1.18669
HSD17B4	0.77009	11.6509	11.8265	7.70905	12.4849	7.12213	19.1859	9.84924	16.7405	12.0403	2.18073	2.1108	5.06206	0.773572	1.08938	1.10152	8.07363	2.24063	1.24609	8.63073	5.88539	6.1797	2.76887
SFXN5	3.94033	4.14775	13.0103	9.2271	10.0121	6.7686	28.7366	24.6705	10.6555	18.5986	3.78797	26.1374	32.187	3.15137	4.0842	26.6273	4.52591	9.1631	19.8684	5.55427	27.9882	2.88818	7.9123
GPR141	11.0195	15.2906	14.9038	12.2499	10.5203	30.8025	38.5786	10.8486	18.5646	7.74024	15.8201	26.8982	9.16456	11.0569	24.3469	16.1082	26.703	17.9871	19.371	21.8554	3.81773	25.5689	8.05266
DISC1	5.81024	14.2152	34.8212	7.64886	3.92284	25.5262	6.24711	2.8967	3.9216	7.90231	5.8874	4.45066	4.16908	3.80723	5.24988	14.908	12.3817	4.03586	14.003	34.0541	22.097	7.58925	3.24456
BPI	12.0683	4.52079	21.7299	31.8348	28.544	45.9875	21.5509	13.8621	21.412	29.3516	34.2927	29.2647	10.2019	27.6471	16.2171	38.444	6.26716	17.5961	44.3093	33.4856	58.2419	14.7962	3.71296
ZBTB8B	14.7169	24.9318	7.74182	11.5294	18.8256	29.1842	1.54461	16.8695	15.2576	14.8743	7.21793	14.5982	14.9732	12.6838	13.7101	14.909	21.9024	15.7135	24.6373	0.990801	18.0077	13.0759	13.8259
CAGE1	1.09667	0.448854	1.03463	12.8927	5.95415	1.63998	2.76263	0.324252	3.48517	1.2071	0.821316	4.43913	3.97669	14.7167	1.74771	2.098	0.40364	1.90868	1.09535	2.41902	2.05707	1.85034	0.457718
AMN	33.3093	14.41	25.3091	20.4352	27.4288	14.512	4.54543	6.77303	25.039	20.7733	7.70252	16.4878	19.7251	24.8773	10.7154	28.1169	25.3637	25.488	47.209	19.191	4.11919	19.1563	3.72129
