Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
P4HA2	-4.281	-2.774	-3.917	-1.394	-2.764	-2.744	-0.84	-3.154	-3.441	-3.942	-4.784	-2.681	-3.303	-5.066	-5.114	-4.224	-4.473	-4.993	-3.317	-3.869
P4HB	-2.234	-2.067	-2.089	-1.943	-1.291	-1.519	-0.347	-1.13	-1.581	-1.271	-1.19	-1.499	-1.814	-1.312	-0.89	-2.452	-1.098	-2.039	-1.174	-1.73
PA2G4	0.805	0.521	0.033	-0.188	0.284	-1.545	-2.412	0.006	-0.239	-0.321	-1.231	-0.329	-0.942	-2.222	-0.646	-1.597	-1.035	-2.3	-1.418	-0.308
PABPC1	-2.09	-0.952	0.017	0.72	-1.28	-2.153	-4.372	0.668	-0.978	-1.874	-1.291	0.861	-2.262	-1.242	-1.239	-3.813	-0.067	-1.758	-2.319	-1.224
PABPC4	0.049	1.44	2.638	0.843	2.325	2.664	3.638	1.777	0.426	-0.535	3.196	-0.89	2.438	0.88	1.106	2.73	0.699	-0.251	1.656	-0.606
PABPC4L	2.058	3.005	1.932	3.132	2.381	1.906	-0.712	1.036	3.034	1.662	1.429	1.143	1.663	1.569	1.285	2.308	0.869	1.578	1.718	0.862
PABPN1	-2.76	-2.451	-2.726	-3.428	-2	-2.242	-1.85	-0.849	-1.908	-1.323	-1.872	-1.501	-1.494	-1.41	-0.983	-1.832	-1.558	-2.801	-1.643	-1.345
PACRG	1.356	1.458	0.973	1.486	0.407	1.018	NA	0.531	1.385	1.026	0.941	0.9	0.372	0.064	0.713	1.853	0.163	0.327	2.002	-0.135
PACS2	-2.539	-2.319	-2.067	-2.822	-2.718	-3.372	-0.794	-4.435	-1.584	-2.241	-3.147	-2.511	-3.28	-3.66	-2.83	-3.149	-3.29	-3.372	-3.221	-2.637
PADI2	1.492	1.42	3.113	1.627	3.131	1.593	1.256	-0.23	2.251	3.104	3.132	2.779	0.619	1.714	0.722	1.823	1.018	2.793	3.217	2.756
PADI4	0.724	1.49	1.523	1.889	2.318	0.085	0.738	0.891	2.619	1.997	0.86	1.398	0.505	1.599	0.409	1.941	0.556	1.435	1.207	0.448
PAEP	-0.02	NA	NA	-2.377	-2.548	-0.45	-1.387	-1.599	-1.859	-3.282	-3.1	0.918	-1.915	-1.319	-5.706	-0.672	1.602	-2.393	-2.512	-1.318
PAF1	0.103	1.819	1.4	2.227	0.575	0.963	-0.103	0.341	2.024	0.992	1.116	1.273	0.129	1.429	0.654	0.587	0.796	0.046	1.289	0.885
PAFAH1B1	1.241	1.729	1.847	0.038	-0.427	0.482	0.125	-0.384	1.464	0.779	1.244	1.388	0.801	0.912	0.978	0.738	1.086	0.977	1.247	2.501
PAFAH1B2	-0.257	-0.013	0.085	-0.927	-0.304	-1.41	-1.479	-1.307	-1.017	-1.022	-0.608	-1.044	-1.41	-1.828	-1.056	-0.946	-1.178	-1.905	-1.46	-0.866
PAFAH1B3	-1.576	-1.701	-1.547	-1.992	-1.058	-1.89	0.316	-0.626	-0.761	-1.041	-1.56	-1.047	-2.188	-0.798	-0.692	-1.766	-1.186	-2.18	-1.771	-1.092
PAFAH2	1.889	1.52	2.306	0.346	0.605	0.377	-1.471	0.09	2.266	1.47	1.547	1.143	1.038	0.796	0.973	1.71	0.5	1.935	1.163	2.595
PAG1	1.904	0.734	0.412	1.366	2.906	3.375	1.263	2.201	2.935	3.446	5.286	2.665	2.947	3.255	2.849	4.148	3.415	4.377	3.612	3.383
PAGE1	-1.606	-0.353	-2.003	1.825	-1.129	0.204	-0.685	-0.984	-1.756	-2.486	-1.728	-0.461	-1.365	-3.269	-3.551	-1.34	-3.198	-2.892	-1.133	-3.782
PAH	-1.808	-1.734	-1.447	0.385	-1.346	-1.017	-0.94	-0.131	-0.393	-2.578	-2.356	-2.493	-1.684	-2.449	-3.103	-3.157	-2.281	-3.011	-2.209	-2.604
PAICS	-3.883	-4.18	-4.171	-3.983	-2.866	-1.784	-1.166	-0.571	-3.19	-2.34	-1.867	-3.27	-0.853	0.388	-0.866	-2.399	-1.661	-0.886	-1.54	-3.042
PAK1	0.642	0.337	0.351	-1.916	0.58	-2.519	-1.158	-1.449	-1.448	-0.3	-0.054	0.509	-3.138	-1.284	-0.8	-0.191	-1.801	-0.613	-0.827	0.93
PAK2	-2.213	-3.129	-3.032	-1.144	-3.04	-1.535	-0.276	-2.714	-2.701	-2.405	-1.408	-2.11	-2.501	-2.101	-2.34	-2.123	-1.314	-2.095	-0.931	-2.126
PAK3	-0.846	0.743	NA	0.011	-1.516	0.985	1.683	-0.714	-2.593	0.369	-1.168	0.426	0.413	-1.315	0.161	NA	3.479	-0.339	0.512	-0.373
PAK4	-3.841	-2.58	-3.509	-2.417	-2.294	-3.935	-1.203	-2.672	-1.902	-3.197	-3.731	-3.724	-3.231	-2.529	-3.24	-2.396	0.464	-2.674	-3.884	-3.905
PAK6	0.343	-0.17	-0.403	-0.239	-1.201	-0.777	-0.062	-0.302	-1.333	-0.545	0.003	-1.14	-0.738	-0.472	-0.737	-0.02	-0.573	-0.626	-1.046	-0.908
PALLD	3.275	-0.478	1.602	-2.309	-2.118	0.139	1.646	0.252	0.582	-0.16	NA	0.023	-0.774	-1.217	0.264	-0.275	-0.165	-0.155	0.613	-0.791
PALM	-1.643	-2.152	-3.52	0.619	-0.746	-1.783	-3.295	-1.564	-2.885	-1.638	-1.608	-2.218	-1.867	-2.018	-1.479	-1.353	-3.041	-1.807	-1.13	-1.681
PAM	-2.354	-1.844	-2.751	-2.993	-2.532	-2.396	-0.621	-2.06	-1.918	-3.449	-2.015	-2.392	-2.932	-3.759	-3.644	-2.537	-2.2	-2.809	-2.715	-3.269
PAM16	-2.61	-2.949	-2.561	-2.886	-1.657	-1.609	1.503	0.94	-2.392	-2.112	-2.512	-2.499	-2.446	-1.583	-1.352	-1.802	-2.317	-1.676	-2.668	-2.182
PAN2	-2.266	-1.996	-1.886	-3.937	-1.739	-1.123	-3.179	-0.437	-3.88	-1.535	-1.932	-1.536	-1.14	-1.15	-1.146	-1.091	-1.044	-1.631	-1.691	-1.488
PAN3	2.816	0.149	0.979	-4.065	0.373	1.38	1.496	0.248	0.56	0.912	-0.667	1.589	0.335	0.056	0.394	2.085	0.722	1.575	0.331	1.852
PANK2	1.535	2.356	0.516	2.436	1.557	1.898	-1.498	1.671	1.61	1.351	1.662	1.24	1.609	1.856	1.032	1.725	1.474	3.546	1.634	1.222
PANK3	-0.285	0.497	-0.226	-1.518	-1.677	0.125	-4.711	-0.786	-0.99	-0.171	0.763	-0.992	0.682	-0.304	-0.211	-0.697	0.065	1.234	0.826	0.745
PANK4	-0.399	-0.012	-0.09	-1.139	-2.861	-0.996	-1.199	-0.596	-3.524	-0.116	-0.12	-0.095	-0.297	0.257	0.217	-0.069	-2.185	-0.335	-0.958	0.235
PANX1	0.394	-4.94	-1.092	-0.922	0.088	-1.25	0.306	0.479	-1.488	-0.585	-0.474	0.07	-0.462	-0.412	0.015	-0.697	-1.77	0.136	0.233	-0.881
PAPOLA	-0.449	-0.273	-0.441	-0.557	-0.71	-1.453	-4.949	0.248	-0.932	-0.415	-0.83	0.874	0.37	0.305	-0.049	-0.763	0.326	0.751	-0.062	-0.574
PAPOLG	0.41	0.169	0.205	0.245	-1.069	0.309	11.399	0.01	-1.328	0.288	-0.436	-0.365	0.655	-0.235	0.333	-1.24	-0.248	0.394	0.434	0.843
PAPPA	-0.953	-0.302	-0.386	-0.676	-2.956	0.817	1.805	-0.121	-1.784	-0.742	1.106	-4.21	0.039	-0.985	-0.779	0.71	-5.349	-1.766	-0.523	-1.419
PAPPA2	-2.029	NA	-1.906	0.051	-0.054	-0.677	-0.334	2.094	-0.424	-0.648	0.243	0.852	0.575	-0.088	-1.186	1.25	0.129	0.498	0.58	0.269
PAPSS1	-1.061	-1.158	-1.554	-1.794	-1.967	-0.912	-2.521	-0.924	-1.234	-1.358	-1.312	-1.223	-0.841	-1.278	-1.358	-1.46	-1.749	-2.152	-1.606	-1.321
PAPSS2	-1.71	-1.172	-1.29	-0.751	-0.438	-1.034	-2.212	-1.442	-1.505	-0.643	-1.68	-2.103	-0.303	-0.728	-0.907	-1.084	-0.219	-0.591	-0.966	-0.834
PAQR3	-2.611	-0.101	-1.32	0.84	-0.493	-1.071	-0.006	-0.749	-1.034	-1.186	-1.238	-0.248	-0.823	-1.467	-1.872	-1.272	-0.637	-0.729	-0.845	-0.546
PAQR4	-5.642	-3.411	-5.116	-4.227	-3.337	-3.174	0.94	-1.936	-4.149	-3.04	-3.442	-4.204	-3.847	-2.399	-2.55	-5.136	-4.254	-3.799	-3.475	-3.951
PAQR8	0.986	1.027	2.118	1.932	0.78	0.796	5.452	-1.501	0.994	0.306	0.557	1.045	0.136	0.966	0.827	0.71	-0.73	0.5	0.214	1.02
PAQR9	-0.097	1.177	-0.208	1.644	0.311	-0.4	-1.695	-1.609	0.601	-0.398	-1.235	-0.071	-2.104	-1.021	-2.077	-0.687	-1.79	-1.225	-1.251	-1.57
PARD3B	0.697	0.692	0.082	-0.191	-1.702	0.58	0.138	0.615	-1.431	-0.712	-0.161	-0.444	0.481	0.777	0.049	-0.417	-0.025	1.365	0.307	0.273
PARD6A	1.713	1.658	0.988	1.738	2.386	0.03	10.198	-1.719	-0.564	1.835	1.522	NA	0.661	2.369	1.148	4.581	1.676	-1.672	3.359	-1.423
